Ga0073928_304372358	2617273796	86.96	276	29	7	1	273	6079	6350	5e-83	 303
Ga0073928_304372358	2616652971	86.59	276	30	7	1	273	12835	12564	2e-81	 298
Ga0073928_302353641	2616653065	97.78	45	1	0	1	45	1111	1067	3e-15	78.7
Ga0073928_302353641	2617273802	97.78	45	1	0	1	45	18836	18792	3e-15	78.7
Ga0073928_307942086	2616653283	90.25	236	23	0	1	236	4364	4599	8e-85	 309
Ga0073928_307942086	2617273816	90.25	236	23	0	1	236	1527	1292	8e-85	 309
Ga0073928_305913912	2616646141	99.57	235	1	0	1	235	3380	3614	6e-121	 429
Ga0073928_305913912	2616646096	88.73	71	5	3	1	71	3271	3338	5e-17	84.2
Ga0073928_305913912	2616653403	88.89	72	3	3	1	71	1698	1631	5e-17	84.2
Ga0073928_305349114	2616653461	95.52	67	3	0	146	212	5238	5172	3e-24	 108
Ga0073928_305349114	2616653461	100.00	45	0	0	1	45	5290	5246	5e-17	84.2
Ga0073928_305349114	2616653347	100.00	45	0	0	1	45	3399	3443	5e-17	84.2
Ga0073928_305349114	2617273820	100.00	45	0	0	1	45	5223	5179	5e-17	84.2
Ga0073928_303238345	2616652946	100.00	210	0	0	1	210	1255	1464	9e-109	 388
Ga0073928_303238345	2617273861	100.00	210	0	0	1	210	4781	4990	9e-109	 388
Ga0073928_303238345	2616653342	100.00	147	0	0	64	210	4933	4787	1e-73	 272
Ga0073928_303238345	2616653317	100.00	63	0	0	1	63	63	1	5e-27	 117
Ga0073928_300986604	2616646066	86.67	225	27	2	1	222	3990	3766	6e-66	 246
Ga0073928_300986604	2617273835	86.21	145	14	6	84	222	5876	5732	1e-37	 152
Ga0073928_301394371	2616652977	91.75	194	16	0	1	194	25241	25048	3e-73	 270
Ga0073928_301394371	2617273878	91.75	194	16	0	1	194	961	1154	3e-73	 270
Ga0073928_307130504	2616646086	90.91	176	16	0	11	186	4630	4455	3e-63	 237
Ga0073928_305835543	2617273761	88.30	282	31	2	2	282	3130	3410	5e-93	 337
Ga0073928_308274926	2617273876	93.75	256	16	0	1	256	8539	8794	1e-107	 385
Ga0073928_308543701	2616653330	89.87	237	22	2	8	243	1135	1370	4e-83	 303
Ga0073928_300964517	2616653449	97.96	49	1	0	27	75	1354	1402	2e-17	86.1
Ga0073928_306271561	2616653049	81.25	144	21	5	7	147	5409	5269	2e-25	 111
Ga0073928_306271561	2617273809	81.25	144	21	5	7	147	1106	966	2e-25	 111
Ga0073928_308011159	2616653359	86.32	190	26	0	5	194	14972	14783	3e-54	 207
Ga0073928_308011159	2617273799	86.32	190	26	0	5	194	1043	1232	3e-54	 207
Ga0073928_307878401	2616653319	72.87	258	52	16	24	269	16260	16009	1e-13	73.1
Ga0073928_307878401	2617273779	72.87	258	52	16	24	269	20597	20346	1e-13	73.1
Ga0073928_306939130	2616652921	80.16	126	23	2	31	155	3163	3287	9e-20	93.5
Ga0073928_305149006	2616646159	82.30	113	18	2	127	238	2265	2154	8e-21	97.1
Ga0073928_301668273	2616653366	100.00	246	0	0	1	246	17568	17323	1e-128	 455
Ga0073928_301668273	2617273825	100.00	246	0	0	1	246	3031	3276	1e-128	 455
Ga0073928_307077579	2616646088	93.97	232	13	1	2	232	2344	2113	5e-97	 350
Ga0073928_307077579	2616653069	83.55	231	35	3	2	231	3066	3294	7e-56	 213
Ga0073928_303038355	2616646092	100.00	279	0	0	1	279	4639	4917	5e-147	 516
Ga0073928_303038355	2616653391	100.00	279	0	0	1	279	23355	23077	5e-147	 516
Ga0073928_300719983	2616653336	100.00	239	0	0	1	239	3763	3525	8e-125	 442
Ga0073928_300719983	2617273833	100.00	239	0	0	1	239	11005	10767	8e-125	 442
Ga0073928_302594840	2616652940	93.18	44	2	1	217	260	1274	1316	8e-11	63.9
